targetLab,resultLab,targetWeights,resultWeights,optimizer,numberOfEvaluations,mixingError,penalties,normalizer,initialGuessType
32.112010421859175;55.57715769733368;-81.89570995877071,33.42194579717042;-0.8057780842846973;-14.325327745615068,0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.4506015304341244;0.03778831520872102;0.01037633377785645;0.8226641152323563;0.6894625449249822;0.0375947508957234;0.43099460159664227;0.5749249373760739;0.9632054758048303;0.4897762344087276;0.8289875472491357,MoeaNSGAIIOptimizerImpl,1000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
30.67955912774731;42.88625081617617;-56.33546061218031,37.42027924540624;9.356252277002097;-1.6926235722890315,0.0;0.2;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.0357047663405453;0.48591571525220323;0.5051265462674456;0.9288590635453982;0.9958461571940195;0.3682608360436319;0.3889392657687171;0.632308459466322;0.9312062653076745;0.39987700912804564;0.6353255921615907,MoeaNSGAIIOptimizerImpl,1000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
33.09729702427413;36.110590882681315;-27.631760509014658,36.40404009886314;19.244061869177266;-11.276333556999196,0.0;0.4;0.0;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.01081113388801178;0.768049428170875;0.3047828912972116;0.7831744379569248;0.949891304057243;0.39657170171440037;0.025536210277849542;0.5254919093521182;0.9605352823511636;0.0394195719331654;0.45730268923778467,MoeaNSGAIIOptimizerImpl,1000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
38.204638740703324;38.02473236036358;0.7654953877936577,34.76745357604872;34.60573298215985;-8.444470651332004,0.0;0.6;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.008595259216369945;0.034156464661976665;0.3728524947172165;0.39515866145537704;0.8850732232306147;0.02924446243688327;0.02780831177163423;0.5418777054756092;0.2901697037746872;0.8357599494481113;0.03452982725283853,MoeaNSGAIIOptimizerImpl,1000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
44.734613059764115;46.51376988468686;25.559055889637072,43.865698666759215;27.60916768591609;26.547204131792444,0.0;0.8;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.38175275745587656;0.7392409708274891;0.42822053185731934;0.051467971224523935;0.8834831963610718;0.01615239163034829;0.541194522121986;0.7302840791469756;0.3496595433189584;0.8394140719809516;0.23688294702916557,MoeaNSGAIIOptimizerImpl,1000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
52.370344868584624;61.09238608164025;44.41743162254441,45.55388262426621;30.186137593636087;25.99142207222477,0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.012680017287767423;0.9999874048665999;0.026265870321248715;0.02768538393528286;0.0178013810819197;0.0030118971749851977;0.5634477820601642;0.549784838470599;0.26777943633657025;0.5659760262815042;0.0019330999068543318,MoeaNSGAIIOptimizerImpl,1000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
36.76348157944843;7.0579702288198485;-27.127904638768918,39.30008006439606;4.64319613490316;1.0434756168846149,0.2;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.02641712769361522;0.4108682768331758;0.4903174228690634;0.6380130957943274;0.5076255560445424;0.3841751903279581;6.310688356327325E-4;0.7624487760945907;0.386898663501686;0.996960760735011;0.5205468112360673,MoeaNSGAIIOptimizerImpl,1000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
38.24850798720777;7.90470254470288;-4.231300263252069,41.74543288937253;8.879299169119225;8.464922042323487,0.2;0.2;0.0;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.01719309798661834;0.8926186317396185;0.5211770749955199;0.9854223938735915;0.608869932831856;0.9283542973794073;0.0623213426573003;0.7465838961982435;0.02514302466057467;0.6651579049160958;0.8936604107691903,MoeaNSGAIIOptimizerImpl,1000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
41.9822414403412;19.574802113778876;18.882841692717523,39.494727536858235;17.751921230642647;26.198686583953858,0.2;0.4;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.3201583709803188;0.9489781990990009;0.05159750154631067;0.9720362272832139;0.6906612197578584;0.9121850428292393;0.6609457663706598;0.034003658243688055;0.5606387061256344;0.04697605960187578;0.03618903392801481,MoeaNSGAIIOptimizerImpl,1000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
46.99829481038868;36.85596392711143;36.21813845285728,46.323326169230334;28.46672473293127;34.38059839520634,0.2;0.6;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.5274278907432689;0.8636638326488884;0.047435240051854205;0.4620769018735372;0.889278408745663;0.8116730460358546;0.6134999109301618;0.6916173763733104;0.03217654465328722;0.7530412031046133;0.04549934804792588,MoeaNSGAIIOptimizerImpl,1000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
54.48966311460322;57.174918510749684;51.69569907182661,48.703283235056446;30.672589955170416;35.31620120359096,0.2;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.04949847716570013;0.9960243480327313;0.48663457015345035;0.47213182149604543;0.9976269339833359;0.5910089133072134;0.5178007284587018;0.523478925655611;0.014300008951669807;0.5112442321235923;0.018109501360717428,MoeaNSGAIIOptimizerImpl,1000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
44.12733833823723;-15.727936702135043;14.346135173514707,39.41634005876166;-6.616277444532942;22.32030542288401,0.4;0.0;0.0;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.4264442356252004;0.32299858636375495;0.7335044239492416;0.9118399389385524;0.4689302218197708;0.9462756766803316;0.4950938023209664;0.03658513217584616;0.6431080992860708;0.358606018885209;0.5926866559883414,MoeaNSGAIIOptimizerImpl,1000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
45.89487521141216;0.40493186330919917;29.33796863221646,45.89487521141216;0.40493186330919917;29.33796863221646,0.4;0.2;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.6649502005112723;4.466330681725265E-4;0.9932121620293654;0.6818338713508932;0.9963044765998147;0.5720153016395298;0.03932290389208287;0.020966344185492203;0.6811155449253058;0.02317271253159455;0.028259256125058627,MoeaNSGAIIOptimizerImpl,1000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
48.91590771168926;23.617796530919776;43.01352828728797,52.61446529096726;23.68544068416989;48.60501962178525,0.4;0.4;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.5321523630650558;0.9469076150576706;0.801898983593436;0.046094104606555164;0.04449285496395728;0.7520258053968566;0.5635189168255779;0.3233831431279048;0.00226945496146453;0.8366573948293256;0.045452585806050064,MoeaNSGAIIOptimizerImpl,1000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
56.67647635323361;50.99450333647232;57.07290754377022,47.80124293052378;18.565125201017775;42.398909492047565,0.4;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.8457309327753929;0.757679685887166;0.3145235104220314;0.3638864236100496;0.8763035445976926;0.4051565961434209;0.9996967319231549;0.35372953196596757;0.05780556047198271;0.5677964202603677;0.3572517262207936,MoeaNSGAIIOptimizerImpl,1000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
49.885856077965784;-18.813684855053083;39.28232832069541,49.69891638744048;-20.01400197012876;40.902288489069115,0.6;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.009981912219753582;5.0432729675201874E-5;0.6784436208893386;0.010252672964424947;0.0085368920109108;0.988450508213627;0.33433494302736405;0.0034994643905166874;0.0030817048907627754;5.980826750167758E-4;0.575414068773988,MoeaNSGAIIOptimizerImpl,1000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
52.44893299140031;8.49598548825753;49.600331034941526,44.39446312896758;10.531022068244633;44.3660749737053,0.6;0.2;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.9998414941620872;0.4575433352085998;0.0294990280058423;0.22344796848127685;0.36266101748898355;0.024924065440052014;0.9832477345149644;0.013561716083474699;0.0014287013817980334;0.28625375637990863;0.3971168675592868,MoeaNSGAIIOptimizerImpl,1000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
59.29024947909363;41.64972968500879;61.76989083579241,55.11650501861233;24.072489508153495;48.76304503293009,0.6;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.056497479117596686;0.9837921889739552;0.6845101263997028;0.016993482012599287;0.9349278588028612;0.9797917756604627;0.9825852630410528;0.5911429507234651;0.050178805788790255;0.024975021801089035;0.4026757001732579,MoeaNSGAIIOptimizerImpl,1000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
56.63940646287402;-10.42160315106666;55.84708273540462,48.70526732788359;-3.7651488458298465;34.90874586539552,0.8;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.8311206957390644;0.44333908765188323;7.191559225055989E-4;0.23574532996404884;0.03835345007791336;0.39331914635562243;0.478259403008074;0.8318307115585267;0.3651540282252053;0.8689616669886948;0.026283094826087098,MoeaNSGAIIOptimizerImpl,1000,DeltaE2000,SparsityPenalty,ProportionsNormalizer,Uniform
